,0.0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35000000000000003,0.36,0.37,0.38,0.39,0.4,0.41000000000000003,0.42,0.43,0.44,0.45,0.46,0.47000000000000003,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.5700000000000001,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.6900000000000001,0.7000000000000001,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.8200000000000001,0.8300000000000001,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.9400000000000001,0.9500000000000001,0.96,0.97,0.98,0.99,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.005681818181818182,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.00946969696969697
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.007575757575757576,0.007575757575757576,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.011363636363636364,0.013257575757575758,0.015151515151515152,0.017045454545454544,0.017045454545454544,0.017045454545454544,0.017045454545454544,0.017045454545454544,0.01893939393939394
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.011363636363636364,0.011363636363636364,0.013257575757575758,0.013257575757575758,0.013257575757575758,0.013257575757575758,0.013257575757575758,0.013257575757575758,0.013257575757575758,0.013257575757575758,0.013257575757575758,0.013257575757575758,0.015151515151515152,0.017045454545454544,0.01893939393939394,0.020833333333333332,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.026515151515151516,0.028409090909090908
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.013257575757575758,0.013257575757575758,0.013257575757575758,0.013257575757575758,0.013257575757575758,0.013257575757575758,0.013257575757575758,0.013257575757575758,0.015151515151515152,0.017045454545454544,0.017045454545454544,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.020833333333333332,0.022727272727272728,0.02462121212121212,0.026515151515151516,0.028409090909090908,0.030303030303030304,0.030303030303030304,0.03598484848484849,0.03977272727272727
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.005681818181818182,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.00946969696969697,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.017045454545454544,0.017045454545454544,0.01893939393939394,0.01893939393939394,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.022727272727272728,0.02462121212121212,0.02462121212121212,0.026515151515151516,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.030303030303030304,0.032196969696969696,0.03409090909090909,0.03598484848484849,0.03787878787878788,0.03977272727272727,0.03977272727272727,0.045454545454545456,0.04924242424242424
0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001893939393939394,0.003787878787878788,0.005681818181818182,0.005681818181818182,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.00946969696969697,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.015151515151515152,0.015151515151515152,0.017045454545454544,0.017045454545454544,0.017045454545454544,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.02462121212121212,0.02462121212121212,0.026515151515151516,0.026515151515151516,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.030303030303030304,0.032196969696969696,0.032196969696969696,0.03598484848484849,0.03787878787878788,0.03787878787878788,0.03787878787878788,0.03787878787878788,0.03787878787878788,0.03787878787878788,0.03787878787878788,0.03787878787878788,0.03787878787878788,0.03977272727272727,0.041666666666666664,0.043560606060606064,0.045454545454545456,0.04734848484848485,0.04924242424242424,0.04924242424242424,0.054924242424242424,0.058712121212121215
0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001893939393939394,0.003787878787878788,0.005681818181818182,0.005681818181818182,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.00946969696969697,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.015151515151515152,0.015151515151515152,0.017045454545454544,0.017045454545454544,0.017045454545454544,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.01893939393939394,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.02462121212121212,0.02462121212121212,0.026515151515151516,0.026515151515151516,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.028409090909090908,0.030303030303030304,0.032196969696969696,0.032196969696969696,0.03598484848484849,0.03787878787878788,0.03977272727272727,0.03977272727272727,0.03977272727272727,0.03977272727272727,0.03977272727272727,0.03977272727272727,0.03977272727272727,0.03977272727272727,0.041666666666666664,0.045454545454545456,0.04734848484848485,0.04924242424242424,0.05113636363636364,0.054924242424242424,0.056818181818181816,0.0625,0.06818181818181818
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001893939393939394,0.001893939393939394,0.001893939393939394,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.003787878787878788,0.005681818181818182,0.007575757575757576,0.00946969696969697,0.00946969696969697,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.013257575757575758,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.01893939393939394,0.01893939393939394,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.026515151515151516,0.026515151515151516,0.026515151515151516,0.028409090909090908,0.028409090909090908,0.030303030303030304,0.030303030303030304,0.032196969696969696,0.032196969696969696,0.032196969696969696,0.032196969696969696,0.032196969696969696,0.032196969696969696,0.032196969696969696,0.032196969696969696,0.03409090909090909,0.03598484848484849,0.03598484848484849,0.03977272727272727,0.041666666666666664,0.043560606060606064,0.043560606060606064,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.04734848484848485,0.04924242424242424,0.05303030303030303,0.054924242424242424,0.058712121212121215,0.06060606060606061,0.06628787878787878,0.06818181818181818,0.07386363636363637,0.07954545454545454
