U,V
0.005671077504725898,0.2381852551984877
0.034026465028355386,0.14366729678638943
0.31474480151228734,0.12287334593572778
0.021739130434782608,0.20415879017013233
0.00945179584120983,0.2655954631379962
0.04158790170132325,0.29678638941398866
0.034026465028355386,0.16257088846880907
0.5718336483931947,0.08979206049149338
0.1389413988657845,0.555765595463138
0.062381852551984876,0.4499054820415879
0.04158790170132325,0.1323251417769376
0.1833648393194707,0.08128544423440454
0.10775047258979206,0.23156899810964082
0.08223062381852551,0.31947069943289225
0.08506616257088846,0.21361058601134217
0.015122873345935728,0.6379962192816635
0.003780718336483932,0.2741020793950851
0.17013232514177692,0.14933837429111532
0.16446124763705103,0.7542533081285444
0.07939508506616257,0.22117202268431002
0.17013232514177692,0.40359168241965976
0.024574669187145556,0.22495274102079396
0.07277882797731569,0.3856332703213611
0.08223062381852551,0.19281663516068054
0.10586011342155009,0.18714555765595464
0.09168241965973535,0.3648393194706994
0.09829867674858223,0.6937618147448015
0.07655954631379962,0.7911153119092628
0.05198487712665406,0.2438563327032136
0.10964083175803403,0.32136105860113423
0.05198487712665406,0.9905482041587902
0.16068052930056712,0.6616257088846881
0.06994328922495274,0.5671077504725898
0.001890359168241966,0.8449905482041588
0.04725897920604915,0.44612476370510395
0.2731568998109641,0.3383742911153119
0.11153119092627599,0.947069943289225
0.19187145557655955,0.9508506616257089
0.03780718336483932,0.8279773156899811
0.20982986767485823,0.21833648393194707
0.17485822306238186,0.8015122873345936
0.08695652173913043,0.3761814744801512
0.09168241965973535,0.9527410207939508
0.24574669187145556,0.20132325141776938
0.12570888468809074,0.07655954631379962
0.027410207939508508,0.28733459357277885
0.5406427221172023,0.012287334593572778
0.011342155009451797,0.34782608695652173
0.19848771266540643,0.11720226843100189
0.021739130434782608,0.11342155009451796
0.06049149338374291,0.0945179584120983
0.5973534971644613,0.12287334593572778
0.04158790170132325,0.3686200378071834
0.22684310018903592,0.043478260869565216
0.166351606805293,0.28733459357277885
0.2523629489603025,0.024574669187145556
0.1342155009451796,0.29867674858223064
0.14555765595463138,0.11909262759924386
0.21928166351606806,0.05198487712665406
0.013232514177693762,0.5293005671077504
0.045368620037807186,0.389413988657845
0.5482041587901701,0.03497164461247637
0.05671077504725898,0.5472589792060492
0.1342155009451796,0.7589792060491494
0.17485822306238186,0.43950850661625707
0.04914933837429111,0.17013232514177692
0.06521739130434782,0.2551984877126654
0.11342155009451796,0.17485822306238186
0.2523629489603025,0.08695652173913043
0.10302457466918714,0.5595463137996219
0.09640831758034027,0.07372400756143667
0.1001890359168242,0.5434782608695652
0.14272211720226843,0.6758034026465028
0.23629489603024575,0.05671077504725898
0.10302457466918714,0.39224952741020797
0.12287334593572778,0.8468809073724007
0.14933837429111532,0.6644612476370511
0.034026465028355386,0.20982986767485823
0.027410207939508508,0.2060491493383743
0.29867674858223064,0.2655954631379962
0.030245746691871456,0.24007561436672967
0.17013232514177692,0.8638941398865785
0.007561436672967864,0.5113421550094518
0.09168241965973535,0.6086956521739131
0.15595463137996218,0.8251417769376181
0.15595463137996218,0.43667296786389415
0.15879017013232513,0.6833648393194707
0.2939508506616257,0.1947069943289225
0.6342155009451795,0.04914933837429111
0.46313799621928164,0.03969754253308128
0.8185255198487713,0.015122873345935728
0.27977315689981097,0.16257088846880907
0.7051039697542533,0.09262759924385633
0.1776937618147448,0.1275992438563327
0.5945179584120983,0.026465028355387523
0.8516068052930057,0.07088846880907372
0.12570888468809074,0.29206049149338376
0.6342155009451795,0.046313799621928164
0.2570888468809074,0.17485822306238186
0.7051039697542533,0.017958412098298678
0.2826086956521739,0.23440453686200377
0.6068052930056711,0.21550094517958412
0.3553875236294896,0.32514177693761814
0.16257088846880907,0.1833648393194707
0.12948960302457466,0.13610586011342155
0.7835538752362949,0.03213610586011342
0.3799621928166352,0.3837429111531191
0.2939508506616257,0.4952741020793951
0.2731568998109641,0.34782608695652173
0.2674858223062382,0.24574669187145556
0.5614366729678639,0.05860113421550094
0.5718336483931947,0.28166351606805295
0.5860113421550095,0.16257088846880907
0.24574669187145556,0.277882797731569
0.4725897920604915,0.05198487712665406
0.18620037807183365,0.5085066162570888
0.34593572778827975,0.18714555765595464
0.8223062381852552,0.046313799621928164
0.14933837429111532,0.889413988657845
0.18620037807183365,0.5718336483931947
0.43194706994328924,0.09735349716446125
0.19848771266540643,0.4546313799621928
0.2826086956521739,0.0831758034026465
0.7939508506616257,0.005671077504725898
0.19848771266540643,0.33553875236294894
0.2674858223062382,0.2712665406427221
0.11531190926275993,0.6238185255198487
0.5132325141776938,0.1275992438563327
0.3714555765595463,0.3553875236294896
0.3799621928166352,0.43478260869565216
0.18052930056710775,0.13988657844990549
0.8128544423440454,0.054820415879017016
0.9603024574669187,0.07939508506616257
0.9376181474480151,0.007561436672967864
0.9272211720226843,0.017958412098298678
0.7693761814744802,0.45746691871455575
0.8941398865784499,0.1786389413988658
0.7646502835538752,0.15122873345935728
0.946124763705104,0.00945179584120983
0.9395085066162571,0.15406427221172023
0.722117202268431,0.15784499054820417
0.9187145557655955,0.1342155009451796
0.8402646502835539,0.17013232514177692
0.9574669187145558,0.02835538752362949
0.832703213610586,0.0661625708884688
0.7646502835538752,0.6493383742911153
0.8071833648393195,0.2495274102079395
0.5189035916824196,0.7164461247637051
0.8563327032136105,0.10302457466918714
0.9187145557655955,0.012287334593572778
0.5132325141776938,0.5330812854442344
0.7429111531190926,0.19092627599243855
0.8638941398865785,0.21172022684310018
0.889413988657845,0.09735349716446125
0.9697542533081286,0.062381852551984876
0.9357277882797732,0.08506616257088846
0.8856332703213611,0.13043478260869565
0.8128544423440454,0.12287334593572778
0.9026465028355387,0.07088846880907372
0.48015122873345933,0.5066162570888468
0.780718336483932,0.5330812854442344
0.9300567107750473,0.11153119092627599
0.21455576559546313,0.11531190926275993
0.6342155009451795,0.21833648393194707
0.94234404536862,0.07655954631379962
0.7315689981096408,0.277882797731569
0.9026465028355387,0.10964083175803403
0.9848771266540642,0.03780718336483932
0.6871455576559546,0.7325141776937618
0.7466918714555766,0.32892249527410206
0.5226843100189036,0.7504725897920604
0.9243856332703214,0.06427221172022685
0.6984877126654064,0.2627599243856333
0.4120982986767486,0.9924385633270322
0.8402646502835539,0.13799621928166353
0.9867674858223062,0.022684310018903593
0.9810964083175804,0.10586011342155009
0.9659735349716446,0.15784499054820417
0.994328922495274,0.003780718336483932
0.8128544423440454,0.29206049149338376
0.8752362948960303,0.24196597353497165
0.9735349716446124,0.06805293005671077
0.9886578449905482,0.020793950850661626
0.9621928166351607,0.28733459357277885
0.8052930056710775,0.6833648393194707
0.8449905482041588,0.6238185255198487
0.9092627599243857,0.2599243856332703
0.9905482041587902,0.06049149338374291
0.9678638941398866,0.03497164461247637
0.9328922495274102,0.3591682419659735
0.9149338374291115,0.10775047258979206
0.7939508506616257,0.31379962192816635
0.8856332703213611,0.5841209829867675
0.9754253308128544,0.15406427221172023
0.7353497164461248,0.6758034026465028
0.8752362948960303,0.41398865784499056
0.8790170132325141,0.5718336483931947
0.9574669187145558,0.18147448015122875
0.9187145557655955,0.3431001890359168
0.8601134215500945,0.5519848771266541
0.9773156899810964,0.14177693761814744
0.832703213610586,0.4839319470699433
0.9328922495274102,0.5160680529300568
0.48015122873345933,0.9546313799621928
0.722117202268431,0.5765595463137996
0.9924385633270322,0.08979206049149338
0.6729678638941399,0.6446124763705104
0.8582230623818525,0.3714555765595463
0.9716446124763705,0.43950850661625707
0.9640831758034026,0.22306238185255198
